Date,Question,Answer,Specialty,Diagnosis,Emergency,Pharmacology
2018-10-22 00:00:00,What are the finding in gram stain in patients with meningitis? ,"Gram-positive diplococci suggest pneumococcal infection 
Gram-negative diplococci suggest meningococcal infection 
Small pleomorphic gram-negative coccobacilli suggest Haemophilus influenzae infection 
Gram-positive rods and coccobacilli suggest listerial infection ",Infectious Diseases,,,
2018-10-22 00:00:00,What are the clinical features of hypomagnesemia?,"The major clinical manifestations of hypomagnesemia include:
1. Neuromuscular manifestations, including neuromuscular hyperexcitability (eg, tremor, tetany, convulsions), weakness, apathy, delirium, and coma. 
2. Cardiovascular manifestations, including widening of the QRS and peaking of T waves with moderate magnesium depletion, and widening of the PR interval, diminution of T waves, and atrial and ventricular arrhythmias with severe depletion. 
3. Hypocalcemia and Hypokalemia. (You will be unable to correct hypokalemia or hypocalcemia without first supplementing magnesium if patient is hypomagnesemic)",Nephrology,,,
2018-10-22 00:00:00,When should start thinking of stopping the antiseizure drug?,"After a two- to four-year seizure-free interval, it is reasonable to begin a discussion about continued antiseizure drug therapy versus a trial of discontinuation. This decision must be individualized and weighs the risks of seizure recurrence against the possible benefits of drug withdrawal, all of which may vary significantly across patients. 
 Slow rates of antiseizure drug taper (six months) are generally recommended. ",Neurology,,,
2018-10-22 00:00:00,What are the most vulnerable cortical areas to systemic hypoperfusion?,The most severe ischemia may occur in border zone (watershed) regions between the major cerebral supply arteries since these areas are most vulnerable to systemic hypoperfusion.,Neurology,,,
2018-10-22 00:00:00,What is the origin of the long thoracic nerve? ,"The long thoracic nerve arises from C5, C6, and C7 roots. ",Neurosurgery,,,
2018-10-22 00:00:00,What is the nerve that can cause winging of the scapula when injured? ,Winging of the scapula caused by long thoracic nerve involvement is common.,Neurology,,,
2018-10-22 00:00:00,Which nerve injury can result in an absent gag reflex without uvula deviation.,CN IX,Neurology,,,
2018-10-22 00:00:00,What are the functions of the fourth cranial nerve?,"The fourth cranial nerve (trochlear nerve) supplies the superior oblique muscle. The actions of the superior oblique muscle include depression, and abduction.",Neurology,,,
2018-10-22 00:00:00,What is the most widely used choice for myasthenia gravis treatment? , Pyridostigmine,Neurology,,,
2018-10-22 00:00:00,What are the four basic therapies for MG? ,"The four basic therapies for myasthenia gravis (MG) include symptomatic treatments (anticholinesterase agents), chronic immunotherapies (glucocorticoids and other immunosuppressive drugs), rapid immunotherapies (plasma exchange and intravenous immune globulin [IVIG]), and thymectomy. ",Neurology,,,
2018-10-22 00:00:00,What is the mainstay of treatment of ischemic stroke? ,"Intravenous alteplase is the mainstay of treatment for acute ischemic stroke, provided that treatment is initiated within 4.5 hours of clearly defined symptom onset.",Neurology,,,
2018-10-22 00:00:00,When can you start giving Aspirin to a patient with an ischemic stroke who was treated with thrombolysis?,Aspirin should not be started within the first 24 hours of thrombolytic therapy in patients with acute ischemic stroke. Aspirin should be started for most patients 24 to 48 hours after thrombolytic therapy.,Neurology,,,
2018-10-22 00:00:00,What is the age distribution of Bechet syndrome?,"The prevalence is similar in men and women in the areas where it is more common, but women are affected more commonly in reports from the United States and northern Europe. It typically affects young adults 20 to 40 years of age but is infrequently also seen in children. The disease appears to be more severe in young, male patients from Middle- or Far-Eastern Asia.",Rheumatology,,,
2018-10-22 00:00:00,What is the most sensitive test for systemic sclerosis (scleroderma)?,ANA,Rheumatology,,,
2018-10-22 00:00:00,What is polymyalgia rheumatica?," Polymyalgia rheumatica (PMR) is an inflammatory rheumatic condition characterized clinically by aching and morning stiffness about the shoulders, hip girdle, and neck.  ",Rheumatology,,,
2018-10-22 00:00:00,Which disease is associated with polymyalgia rheumatica?,It can be associated with giant cell (temporal) arteritis (GCA).,Rheumatology,,,
2018-10-22 00:00:00,What is the characteristic laboratory finding of polymyalgia rheumatica?,The characteristic laboratory finding is an elevation in the erythrocyte sedimentation rate (ESR).  Elevated serum C-reactive protein (CRP) may be more sensitive than ESR for the diagnosis. ,Rheumatology,,,
2018-10-22 00:00:00,Does polymyalgia rheumatica affect muscle strength?, Muscle strength is normal when carefully tested. ,Rheumatology,,,
2018-10-22 00:00:00,What are the findings that are needed to diagnose polymyalgia rheumatica?,"The diagnosis of PMR can be made in patients with the following features, in whom another disease to explain the findings is not present:
1. Age 50 years or older at onset of symptoms.
2. Bilateral aching and morning stiffness (lasting 30 minutes or more) involving at least two of the following three areas: neck or torso, shoulders or proximal regions of the arms, and hips or proximal aspects of the thighs.
3. ESR increased to 40 mm/hour or more. 
4. Prompt response of symptoms to low-dose glucocorticoids.",Rheumatology,,,
2018-10-22 00:00:00,What is the mode of inheritance of the classical Ehlers-Danlos syndrome?,Autosomal dominant pattern,Rheumatology,,,
2018-10-22 00:00:00,What are the specific antibodies of systemic sclerosis (scleroderma)?,"1. Antitopoisomerase I (anti-Scl-70) antibody (generally associated with the diffuse cutaneous type with a higher risk of severe interstitial lung disease)
2. Anticentromere antibody (ACA) (associated with the limited cutaneous type)
3. Anti-RNA polymerase III antibody (found in patients with the diffuse cutaneous type and are generally associated with rapidly progressive skin involvement as well as an increased risk for scleroderma renal crisis and concomitant cancer)

The antitopoisomerase I (anti-Scl-70), ACA, and anti-RNA polymerase III tests are highly specific (>99.5 percent in some studies) for SSc but are only moderately sensitive (20 to 50 percent). Among those with RP but without definite SSc or a related autoimmune rheumatic disease, the presence of these antibodies predicts an increased risk of progression to SSc, particularly in combination with abnormal nailfold capillaroscopy.",Rheumatology,,,
2018-10-22 00:00:00,What are the two clinical subtypes of systemic sclerosis?,"SSc is a heterogenous disease, but two distinct clinical subsets are traditionally recognized based on the extent of skin involvement: limited cutaneous SSc (lcSSc) and diffuse cutaneous SSc (dcSSc). Patients with lcSSc typically have skin involvement distal to the elbows and knees, and may display features of the CREST syndrome. Patients with dcSSc generally have skin involvement extending to the proximal limbs and/or trunk.",Rheumatology,,,
2018-10-22 00:00:00,What are the features of CREST syndrome?," Calcinosis cutis, Raynaud phenomenon, Esophageal dysmotility, Sclerodactyly, and Telangiectasia",Rheumatology,,,
2018-10-22 00:00:00,What is the most common type of invasive breast cancer?,Infiltrating ductal carcinoma,Oncology,Breast Cancer,,
2018-10-22 00:00:00,Which gene is associated with ductal carcinoma of the breast?,"The p53 tumor suppressor gene
The gene product, tumor protein p53, can delay cell cycle progression, permitting an opportunity for DNA repair or initiation of programmed cell death (apoptosis). In the absence of the normal activated p53 protein, cells containing damaged DNA can survive and proliferate, which contributes to malignant transformation.",Oncology,Breast Cancer,,
2018-10-22 00:00:00,What is  Li-Fraumeni syndrome?,"Li-Fraumeni syndrome is an inherited autosomal dominant disorder that is manifested by a wide range of malignancies that appear at an unusually early age. Li-Fraumeni syndrome is also known as the Sarcoma, Breast, Leukemia, and Adrenal Gland (SBLA) cancer syndrome. This cancer predisposition syndrome is inherited as an autosomal dominant disorder and is associated with abnormalities in the tumor protein p53 gene.",Oncology,Breast Cancer,,
2018-10-22 00:00:00,What are the types of HPV that are more commonly associated with cervical cancer? ,"Types 16 and 18 are the most commonly isolated HPV types in cervical cancer, with type 16 found in approximately 50 percent of patients.",Oncology,,,
2018-10-22 00:00:00,What is the pattern of inheritance in Wilson’s disease?,Autosomal recessive,Gastroenterology,,,
2018-10-22 00:00:00,What is the pathogenesis of familial hypercholesterolemia?,It is the most common autosomal dominant genetic disease. The responsible mutations impair LDL receptor-mediated catabolism of LDL.,Family Medicine,,,
2018-10-22 00:00:00,What is the teratogenic effect of Thalomid?,"Phocomelia is a condition that involves malformations of the arms and legs. Although many factors can cause phocomelia, the prominent roots come from the use of the drug thalidomide.",Gynecology,,,Yes
2018-10-22 00:00:00,What is the mode of inheritance of polycystic kidney disease?,Autosomal dominant (chromosome 16),Nephrology,,,
2018-10-22 00:00:00,What is the mode of inheritance of the spinocerebellar ataxias?,Autosomal dominant ,Neurology,,,
2018-10-22 00:00:00,What is the mode of inheritance of familial adenomatous polyposis?,Autosomal dominant ,Gastroenterology,,,
2018-10-22 00:00:00,What is the mode of inheritance of hereditary thrombotic thrombocytopenic purpura?,Autosomal recessive condition affecting the both alleles of the ADAMTS13 gene,Hematology,,,
2018-10-22 00:00:00,Which classes of HLA are more commonly associated with T1DM?,"T1DM is associated with HLA class II DR3 and DR4, with either allele present in up to 95% of type 1 DM.",Endocrinology,,,
2018-10-22 00:00:00,What is the mode of inheritance of albinism?,Autosomal recessive,Dermatology,,,
2018-10-22 00:00:00,What is the mode of inheritance of neurofibromatosis type 1?,"NF1 is an autosomal dominant genetic disorder. It is due to mutations in the NF1 gene, located at chromosome 17q.",Neurology,,,
2018-10-22 00:00:00,What are the preoperative fasting guidelines?,"1. Eight hours after a heavy meal that includes meat, fried or fatty foods
2. Six hours after a light meal or after ingestion of infant formula or non-human m
3. Four hours after ingestion of breast milk
4. Two hours after clear fluid",Anesthesia,,,
2018-11-05 00:00:00,What is the most common primary tumor arising in the kidney?,"Renal cell carcinomas (RCC)
Clear cell renal cell carcinoma is the most common type of RCC. ",Oncology,,,
2018-11-05 00:00:00,What are the typical features of clear cell RCC?,"Clear cell carcinomas typically: 
1. have a deletion of chromosome 3p
2. come in association with von Hippel-Lindau disease
3. arise from the proximal tubule
4. present as a  solid lesion  ",Oncology,,,
2018-11-05 00:00:00,What is the grading system for RCC? ,"Multiple systems are used to grade renal cell carcinoma (RCC), of which Fuhrman's grade is the most widely used.  In 2012, the International Society of Urologic Pathologists (ISUP) proposed a novel grading system for RCC, mainly based on the evaluation of nucleoli.",Oncology,,,
2018-11-05 00:00:00,What is the staging system of RCC?,"The 8th (2017) TNM staging system is used for staging all histologic variants of RCC.
T1:Tumor ≤7 cm 
T2:Tumor >7 cm 
T3:Tumor extends into major veins or perinephric tissues
T4: Tumor invades beyond Gerota's fascia 
Nodal and distant metastases are simply classified as absent or present.",Oncology,,,
2018-11-05 00:00:00,What is the most consistent factor that influences prognosis in patients with renal cell carcinoma?,"The anatomic extent of disease is the most consistent factor that influences prognosis in patients with renal cell carcinoma (RCC).
The prognosis for long-term disease-free survival for patients with locally advanced or metastatic RCC is generally poor.",Oncology,,,
2018-11-05 00:00:00,What are the prognostic factors for RCC?,"A poor prognosis is associated with:
1. The poorer performance statuses
2. The presence of symptoms and/or paraneoplastic syndromes (eg, anemia, hypercalcemia, thrombocytosis, fever, weight loss)
3.  The longer the time from original diagnosis to initiation of therapy

4. The higher stages 
5. Inferior vena cava involvement
6. Urine collecting system invasion 

7. Clear cell histology
8. The higher grades
9. The presence of sarcomatoid or rhabdoid patterns
10. The presence of coagulative tumor necrosis

11. Low levels of carbonic anhydrase IX (CAIX) 
12. High levels of the proliferation marker Ki-67",Oncology,,,
2018-11-05 00:00:00,What is the treatment algorithm for RCC?," For patients with a resectable stage I, II, or III renal cell carcinoma (RCC), surgery is the primary treatment approach:
1. Radical nephrectomy has been the most widely used approach and remains the preferred procedure when there is evidence of invasion into the adrenal, renal vein, or perinephric fat. 
2. Partial nephrectomy is an alternative for smaller tumors and is particularly valuable in patients with bilateral lesions, those with inherited syndromes in whom there is an increased risk of an additional subsequent primary tumor, and those with impaired renal function.

For patients with metastatic disease at presentation who are candidates for immunotherapy, do debulking nephrectomy prior to treatment when it is clinically feasible and justifiable (good performance status, 75 percent debulking possible, no symptomatic metastatic disease) before initiating systemic therapy. Targeted antiangiogenic therapy or nivolumab monotherapy is an alternative if the combination of nivolumab plus ipilimumab is not available. 

For patients with advanced non-clear cell RCC (eg, stage IV disease and those with recurrent or metastatic disease), the first-line treatment option is vascular endothelial growth factor (VEGF)-directed therapy rather than immunotherapy.",Oncology,,,
2018-11-05 00:00:00,Give two examples of checkpoint inhibitors that can be used to treat clear cell RCC?,"Checkpoint inhibition targeting either the programmed cell death receptor 1 (PD-1) pathway and/or cytotoxic T lymphocyte-associated antigen 4 (CTLA-4) has represented an important advance in the treatment of multiple malignancies, including clear cell RCC.

The combination of nivolumab (an anti-PD-1 antibody) and ipilimumab (an anti-CTLA-4 antibody) has an established role in the treatment of intermediate- and poor-risk patient.",Oncology,,,
2018-11-05 00:00:00,Give two examples of small-molecule TKIs that block the intracellular domain of the VEGF receptor?,Cabozantinib and Sunitinib,Oncology,,,
2018-11-05 00:00:00,What is the role of BCG in bladder cancer treatment?,"Bacillus Calmette-Guerin (BCG), derived from attenuated mycobacterium bovis, induces a robust inflammatory response when injected in the bladder and is used for the treatment and secondary prevention of superficial bladder cancer.",Oncology,,,
2018-11-05 00:00:00,What is the most widely studied prognostic model for RCC? ,"The most widely studied prognostic model has been the University of California, Los Angeles (UCLA) integrated staging system (UISS). The UISS incorporates the Eastern Cooperative Oncology Group (ECOG) performance status and Fuhrman's histologic grade into the tumor, node, metastasis (TNM) anatomic staging system. Using these variables, five distinct prognostic categories were identified that correlate with postnephrectomy outcome",Oncology,,,
2018-11-05 00:00:00,What are the six factors that are associated with poor metastatic RCC?,"The International Metastatic Renal Cell Carcinoma Database Consortium (IMDC) compared baseline characteristics in 645 patients who were treated with several VEGF-targeted agents.
The six factors associated with poorer survival on multivariate analysis included :
1. Karnofsky Performance Status (KPS) <80 
2. Time from original diagnosis to initiation of targeted therapy <1 year
3. Hemoglobin less than the lower limit of normal
4. Serum calcium greater than the upper limit of normal
5. Neutrophil count greater than the upper limit of normal
6. Platelet count greater than the upper limit of normal",Oncology,,,
2018-11-06 00:00:00,What is the most frequently diagnosed malignancy?,Breast cancer,Oncology,Breast Cancer,,
2018-11-06 00:00:00,What is the leading cause of cancer death in women worldwide?,Breast cancer,Oncology,Breast Cancer,,
2018-11-06 00:00:00,What are the classic mammographic findings of breast cancer?,Classic mammographic findings of breast cancer include the presence of a spiculated soft tissue mass and clustered microcalcifications. ,Oncology,Breast Cancer,,
2018-11-06 00:00:00,What are the most common histologic types of epithelial breast carcinoma?,"1. Infiltrating ductal carcinoma
2. Infiltrating lobular carcinoma
3. Mixed ductal/lobular carcinoma 

Other histologic types of breast cancer include metaplastic, mucinous, tubular, medullary, and papillary carcinomas. Together they account for less than 5 percent of invasive cancers. ",Oncology,Breast Cancer,,
2018-11-06 00:00:00,What is the type of the vast majority of breast lymphoma? ,"The vast majority are non-Hodgkin lymphomas, most commonly of B-cell lineage.",Oncology,Breast Cancer,,
2018-11-06 00:00:00,What are phyllodes tumors?,"Phyllodes tumors are uncommon fibroepithelial breast tumors that can behave in variable fashion, and are classified as benign, borderline, or malignant based on histologic criteria (cellular atypia, mitotic activity, margins, and stromal overgrowth).",Oncology,Breast Cancer,,
2018-11-06 00:00:00,What is the percentage of HER2 overexpression?,HER2 overexpression is present in 20 percent of patients and predicts those who will benefit from HER2-directed therapy. HER2 overexpression is detected by uniform intense membrane staining of >30 percent of invasive tumor cells.,Oncology,Breast Cancer,,
2018-11-06 00:00:00,What is the role of imaging in newly diagnosed breast cancer?,"1. For patients with localized bone pain or an elevated alkaline phosphatase, we obtain a bone scan. 
2. For patients with abnormal liver function tests, an elevated alkaline phosphatase, abdominal pain, or an abnormal abdominal or pelvic examination, we obtain a computed tomography (CT) scan of the abdomen. Abdominal MRI or ultrasound would be reasonable alternatives.
3.For patients presenting with pulmonary complaints (ie, cough or hemoptysis), we obtain a chest CT scan, although chest x-ray would be a reasonable alternative.
4. For patients with stage IIIA or higher disease, regardless of whether symptoms are present or not, we obtain a whole-body PET-CT or, alternatively, a bone scan as well as a CT scan of the chest, abdomen, and pelvis. Patients with inflammatory breast cancer, regardless of stage, should also undergo imaging evaluation. ",Oncology,Breast Cancer,,
2018-11-06 00:00:00,What is the American Joint Committee on Cancer distant metastasis classification for breast cancer?,"MX: distant metastasis cannot be assessed
 M0: no distant metastasis
 M1: distant metastasis",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the American Joint Committee on Cancer regional lymph node clinical classification for breast cancer?,"NX: regional lymph nodes cannot be assessed (e.g., previously removed)
N0: no regional lymph node metastases
 N1: metastasis to movable ipsilateral axillary lymph nodes(s)
 N2: metastasis to ipsilateral axillary lymph node(s) fixed or matted
 N3: metastasis to ipsilateral infra-clavicular lymph node(s) ",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the American Joint Committee on Cancer regional lymph node pathologic classification  for breast cancer?,"pNX: regional lymph nodes cannot be assessed (e.g., previously removed or not removed for pathological study)
pN0: no regional lymph node metastasis
pN1: metastasis in 1 to 3 ipsilateral axillary lymph node(s) and/or in internal mammary nodes with microscopic disease detected by SLND
pN2: metastasis in 4 to 9 axillary lymph nodes 
pN3: metastasis in ≥10 axillary lymph nodes, or in infra or supra-clavicular lymph nodes",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the American Joint Committee on Cancer primary tumor classification for breast cancer?," TX: primary tumour cannot be assessed
 T0: no evidence of primary tumour
 Tis: carcinoma in situ
 T1: tumour ≤2 cm in greatest dimension
 T2: tumour >2 cm but not >5 cm in greatest dimension
 T3: tumour >5 cm in greatest dimension
 T4: tumour of any size with direct extension to a) chest wall or b) skin 
 T4d: inflammatory carcinoma",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What are the American Joint Committee on Cancer stage groupings for breast cancer?,"T=1
N=2.5
M=15
Stage1=1
Stage2>=2
Stage3>=5
Stage4>=15

Stage 0: Tis N0 M0
Stage I: T1 N0 M0 (including T1mic)
Stage IIA: T0 N1 M0; T1 N1 M0 (including T1mic); T2 N0 M0
Stage IIB: T2 N1 M0; T3 N0 M0
Stage IIIA: T0 N2 M0; T1 N2 M0 (including T1mic); T2 N2 M0; T3 N1 M0; T3 N2 M0
Stage IIIB: T4 Any N M0
Stage IIIC: any T N3 M0
Stage IV: any T Any N M1

",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the estimated cumulative lifetime incidence of breast cancer and ovarian cancer in BRCA mutation carriers?,"87% and 44%, respectively. ",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the prevalence of BRCA mutations?,"These mutations affect <0.1% of the general population, with variable penetrance. ",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What are the differentiating features between inflammatory breast cancer and mastitis?,"Mastitis tends to affect a specific population: lactating women or women who have had a recent breast surgery.

Inflammatory breast cancer may be differentiated from mastitis by the absence of fever, leukocytosis, and response to antibiotics. Classically, the biopsy of the affected area in inflammatory breast cancer demonstrates dermal lymphatic invasion by tumour cells.",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the differentiating features between breast cancer and fibrocystic disease/fibroadenomas ?,"1. Fibrocystic disease may fluctuate in size with the menstrual cycle, but breast cancer progressively increases in size regardless of the menstrual cycle. Like fibrocystic changes, fibroadenomas tend to worsen during periods of elevated oestrogen levels (such as pregnancy) and decline in size during menopause.
2. Unlike breast cancer, fibrocystic changes are typically symmetrical and are associated with cyclical breast pain, which worsens in the luteal phase of menses.
3. Unlike the incidence of breast cancer, which increases with age, fibrocystic disease usually resolves at menopause.
4. Palpation of a fibroadenoma reveals a smooth, well-demarcated and mobile mass. 
5. Ultrasound scan can differentiate cysts from solid lesions.
6. If necessary, biopsy of the involved area will confirm the diagnosis.",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is recommended imaging modality for the initial screening and diagnosis of breast cancer?,The mammogram,Oncology,Breast Cancer,,
2018-11-11 00:00:00,How can the sensitivity and specificity of mammograms be increased? ,"1. Double reading
2. Computer-aided detection
3. The addition of breast tomosynthesis, a 3-dimensional imaging technique",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What are the advantages of MRI and US over the mammogram?,"Ultrasound has demonstrated utility as an adjunct to mammography through specificity (by differentiating cysts from solid masses), evaluating breast masses that are not sufficiently assessed by mammogram, and monitoring for tumour response during neoadjuvant chemotherapy. 
By comparison, breast MRI is more sensitive than mammogram, but it has limited specificity.",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What are indications for screening breast MRI? ,"The American Cancer Society recommend annual screening MRI, performed as an adjunct to mammography, in women who have:
1. BRCA1 or BRCA2 mutation
 2. First-degree relative with a BRCA1 or BRCA2 mutation
 3. History of radiation to the chest between the ages of 10 and 30 years
4.  History of certain genetic syndromes (Li-Fraumeni's syndrome, Cowden's syndrome, or Bannayan-Riley-Ruvalcaba's syndrome) or history of these syndromes in a first-degree relative.
",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What are the advantages of core biopsy over FNA?,"FNA is useful in obtaining a rapid diagnosis of malignancy, and it may be the only test required for diagnosis when plans for immediate surgery are already in place. However, a core biopsy is usually the preferred method of diagnosis of breast malignancies, as a core biopsy enables differentiation between pre-invasive and invasive disease, is less likely to be associated with inadequate sampling, and enables assessment of receptor status.",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the role of gene expression assays in breast cancer management?,"The Oncotype DX® assay is a reverse transcription-PCR-based multi-gene assay that evaluates the expression of 21 prospectively selected genes within the patient's paraffin-embedded tumour slides.  Based on this expression, a low, intermediate, or high recurrence score can be calculated. The recurrence score can be used to determine the relative benefit of adding chemotherapy to hormone therapy in patients with hormone-receptor-positive early stage breast cancer. Generally, the use of this test is limited to patients whose disease is node-negative.",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What can result in a bloody nipple discharge?,"While bloody discharge is more classically associated with a neoplasm, it may also be related to an intra-ductal papilloma.",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the most reproducible prognostic factor for primary invasive breast cancer?,Axillary nodal involvement remains the most reproducible prognostic factor for primary invasive breast cancer.,Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the initial screening test for breast cancer for asymptomatic patients (who are >40 years of age) and for symptomatic adult patient?,The mammogram,Oncology,Breast Cancer,,
2018-11-11 00:00:00,What are the findings that are suggestive of malignancy in mammograms? ,"1. An irregular spiculated mass
2. Clustered micro-calcifications, and linear branching calcifications",Oncology,Breast Cancer,,
2018-11-11 00:00:00,When should OR and PR be considered positive in breast cancer?,Recommendations from the College of American Pathologists are that OR and PR assays should be considered positive if there are at least 1% positive tumour nuclei in the sample.,Oncology,Breast Cancer,,
2018-11-11 00:00:00,What are the recommendation for breast cancer screening? ,"Mammography screening every 2 years has revealed the largest effect on breast cancer mortality reduction in women aged 50 to 69 years; therefore, the European Union supports mammography screening in this age group. However, it is unclear whether this same effect is observed in women aged 40 to 49 years.

The U.S. Preventive Services Task Force recommends biennial mammographic screening for women 50 to 74 years of age.  Women aged 40 to 49 years can be considered for mammogram based on familial history as well as patient preference as the task force has determined that the benefits of screening slightly outweigh the harms. There remains inadequate evidence to recommend for or against screening mammography in women aged 75 and older.

The Swiss Medical Board concluded that the benefits of screening do not clearly outweigh the harms. Thus, the panel recommends that no new systematic mammography screening programs be introduced.",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What is the role of clinical exam in screening for breast cancer? ,"The National Breast and Cervical Cancer Early Detection Program in the US found that adding clinical breast examination to mammography led to an increase in the cancer detection rate, such that 5% of cancers were detected by clinical breast examination alone initially (the screening mammogram had been negative, benign, or probably benign). Consequently, it is recommended that patients begin to undergo clinical breast examinations yearly, beginning at 20 years of age.",Oncology,Breast Cancer,,
2018-11-11 00:00:00,What are the five most common types of cancer in Saudi Arabia? ,"1. Breast
2. Colon
3. Thyroid
4. Lymphoma
5. Leukemia ",Oncology,"Breast Cancer, Colon Cancer",,
2018-11-11 00:00:00,What is the type of the majority of colorectal cancers?,The majority of colorectal cancers are adenocarcinomas derived from epithelial cells. About 71% of new colorectal cancers arise in the colon and 29% in the rectum. ,Oncology,Colon Cancer,,
2018-11-11 00:00:00,What are the less common types of malignant colorectal tumors?," Less common types of malignant colorectal tumours are carcinoid tumours, GI stromal cell tumours, and lymphomas. ",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the greatest risk factor for sporadic colorectal adenocarcinoma?,Increasing age is the greatest risk factor for sporadic colorectal adenocarcinoma with 99% of cancers occurring in people aged 40 years or over.,Oncology,Colon Cancer,,
2018-11-11 00:00:00,What are sites of colon cancer? ,"The anatomical distribution of colorectal cancer also varies by age and between sexes. In general, colorectal cancers can be thought of as proximal colon (cecum, ascending and transverse colon), distal colon (descending colon, sigmoid colon) or rectal (rectosigmoid, rectal) tumours. Demographic studies have demonstrated that proximal colon tumours are more common in women and older patients. More distal lesions are more common in men and younger patients. [9] For example, the rate of proximal colon cancer is only slightly higher in men than women; however, the ratio of men to women in rectal cancer reaches almost 1.7.",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What are the sites of colon cancer spread? ,"Spread of colorectal cancer is to local lymph nodes, via enteric venous drainage to the liver and haematogenously to the lungs, and - less commonly - to bone and brain. However, as survival improves with systemic chemotherapy, bone and brain metastases have been increasingly reported.",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What are the staging systems of colon cancer? ," While the Dukes' classification and modified Astler-Coller (MAC) staging systems are still sporadically used, the AJCC system is the most common and relevant staging system for pathological reporting.",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the American Joint Committee on Cancer distant metastasis classification for colon cancer?,"MX: distant metastasis cannot be assessed
 M0: no distant metastasis
 M1: distant metastasis",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the American Joint Committee on Cancer regional lymph node classification for colon cancer?," NX: Regional lymph nodes not assessed
 N0: No lymph node involvement is found
 N1: Metastasis in 1 to 3 regional lymph nodes
 N2: Metastasis in 4 or more regional lymph nodes
",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the American Joint Committee on Cancer primary tumor classification for breast cancer?,"Tx: Primary tumour cannot be assessed
 T0: No evidence of primary tumour
 Tis: Tumour involves only the mucosa. Also known as intramucosal carcinoma (carcinoma in situ)
 T1: Tumour extends through the mucosa and into submucosa
 T2: Tumour extends through the submucosa and into muscularis propria
 T3: Tumour extends through the muscularis propria and into the subserosa but not to any neighbouring organs or tissues
 T4a: Tumour extends through to the surface of the visceral peritoneum
 T4b: Tumour directly invades other organs or tissues",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What are the American Joint Committee on Cancer stage groupings for colon cancer?,"Stage 0 : Tis, N0, M0
Stage I: T1-2, 
Stage IIA: T3+, N0, M0
Stage IIIA: Any T, N1+, M0
Stage IV: Any T, any N, M1",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the mainstay of curative treatment of colon cancer?,"Surgical resection for localised colorectal cancer is the mainstay of curative treatment. Surgery should be avoided when the risks are thought to outweigh the potential benefits such as when the patient is unfit for major surgery or has advanced disease (stage IV) where resection may not alter survival or quality of life.
Other than palliative resections (e.g., for obstruction), the aim of surgery is curative resection based on clear resection margins both macroscopically and histologically.",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the  gold standard surgery for colon cancer resection?,"Laparoscopic surgery is being increasingly used for colon cancer and is fast becoming the gold standard for colon cancer resection. The benefits of laparoscopic resection by an appropriately trained surgeon include reduced postoperative pain, shorter hospital stay, and a shorter recovery period compared with conventional open surgery. Time to tumour recurrence and survival are similar with both surgical techniques.",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the international standard surgical procedure for lower rectal cancer?,The treatment of rectal cancer (classified as any cancer whose distal margin is seen at 15 cm or less from the anal verge using a rigid sigmoidoscope) differs from colon cancer. Surgical treatment for rectal cancer varies according to the stage and location of the cancer. Total mesorectal excision is the international standard surgical procedure for lower rectal cancer. ,Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the management of colon cancer stage I to III? ,"For patients without metastases, the primary treatment is colectomy with en bloc removal of the regional lymph nodes. Patients with stage III disease should be offered adjuvant chemotherapy.
When adjuvant therapy is given, it should start within 8 weeks of surgery. Adjuvant therapy is given over 6 months, and there is no apparent role for subsequent therapy in the absence of disease recurrence.",Oncology,Colon Cancer,,
2018-11-11 00:00:00,What is the adequate number of lymph nodes for colon cancer?,Resection and examination of a minimum of 12 nodes is necessary for accurate staging.,Oncology,Colon Cancer,,
